chr1	43815008	43815009	MPL1_2
chr1	115256528	115256531	NRAS1_7
chr1	115258730	115258748	NRAS8_13
chr2	29432664	29432664	ALK1
chr2	29443695	29443695	ALK2
chr2	209113112	209113113	IDH1_1_2
chr2	212288942	212288955	ERBB4_1_2
chr2	212530066	212530135	ERBB4_3_4
chr2	212576857	212576857	ERBB4_5
chr2	212578341	212578349	ERBB4_6_7
chr2	212587147	212587147	ERBB4_8
chr2	212589811	212589811	ERBB4_9
chr2	212652764	212652764	ERBB4_10
chr2	212812157	212812157	ERBB4_11
chr3	10183797	10183817	VHL1_2
chr3	10188245	10188301	VHL3_5
chr3	10191480	10191506	VHL6_8
chr3	37067240	37067240	MLH1
chr3	41266040	41266137	CTNNB1_1_16
chr3	178916876	178916876	PIK3CA1
chr3	178921553	178921553	PIK3CA2
chr3	178927980	178927980	PIK3CA3
chr3	178936074	178936095	PIK3CA4_11
chr3	178938860	178938860	PIK3CA12
chr3	178952007	178952150	PIK3CA13_20
chr3	178952007	178952150	PIK3CA13_20
chr4	1803564	1803568	FGFR3_1_2
chr4	1806119	1806153	FGFR3_3_4
chr4	1807862	1807890	FGFR3_5_7
chr4	1808331	1808331	FGFR3_8
chr4	1808949	1808949	FGFR3_9
chr4	55141013	55141049	PDGFRA1_4
chr4	55144146	55144146	PDGFRA5
chr4	55144547	55144547	PDGFRA6
chr4	55152040	55152109	PDGFRA7_23
chr4	55561764	55561764	KIT1
chr4	55592185	55592186	KIT2
chr4	55593464	55593689	KIT3_19
chr4	55593464	55593689	KIT3_19
chr4	55593464	55593689	KIT3_19
chr4	55594221	55594258	KIT20_21
chr4	55595519	55595519	KIT22
chr4	55597495	55597497	KIT23
chr4	55599320	55599348	KIT24_28
chr4	55602694	55602694	KIT29
chr4	55946114	55946257	KDR1
chr4	55946114	55946257	KDR1
chr4	55953807	55953807	KDR3
chr4	55955111	55955127	KDR4
chr4	55960989	55961023	KDR6
chr4	55962507	55962507	KDR8
chr4	55972964	55972964	KDR9
chr4	55979623	55979623	KDR10
chr4	55980348	55980348	KDR11
chr4	153245446	153245446	FBXW7_1
chr4	153247288	153247366	FBXW7_2
chr4	153249384	153249384	FBXW7_5
chr4	153250883	153250883	FBXW7_7
chr4	153258983	153258983	FBXW7_8
chr5	112173917	112173917	APC1
chr5	112174631	112174631	APC2
chr5	112175162	112175958	APC3_42
chr5	112175162	112175958	APC3_42
chr5	112175162	112175958	APC3_42
chr5	112175162	112175958	APC3_42
chr5	112175162	112175958	APC3_42
chr5	112175162	112175958	APC3_42
chr5	112175162	112175958	APC3_42
chr5	112175162	112175958	APC3_42
